Ticks: 00001048	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: cd Register BC: 0110 Register DE: c023 Register HL: 4023	Flags: ---C
Ticks: 00001060	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: cd Register BC: 0110 Register DE: c023 Register HL: 4024	Flags: ---C
Ticks: 00001064	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 12 Register BC: 0110 Register DE: c023 Register HL: 4024	Flags: ---C
Ticks: 00001068	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 12 Register BC: 0110 Register DE: c023 Register HL: 4024	Flags: ---C
Ticks: 00001076	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 12 Register BC: 0110 Register DE: c024 Register HL: 4024	Flags: ---C
Ticks: 00001088	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 12 Register BC: 0110 Register DE: c024 Register HL: 4025	Flags: ---C
Ticks: 00001092	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c0 Register BC: 0110 Register DE: c024 Register HL: 4025	Flags: ---C
Ticks: 00001096	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c0 Register BC: 0110 Register DE: c024 Register HL: 4025	Flags: ---C
Ticks: 00001104	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c0 Register BC: 0110 Register DE: c025 Register HL: 4025	Flags: ---C
Ticks: 00001116	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c0 Register BC: 0110 Register DE: c025 Register HL: 4026	Flags: ---C
Ticks: 00001120	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 3e Register BC: 0110 Register DE: c025 Register HL: 4026	Flags: ---C
Ticks: 00001124	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 3e Register BC: 0110 Register DE: c025 Register HL: 4026	Flags: ---C
Ticks: 00001132	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 3e Register BC: 0110 Register DE: c026 Register HL: 4026	Flags: ---C
Ticks: 00001144	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 3e Register BC: 0110 Register DE: c026 Register HL: 4027	Flags: ---C
